,,
periodname,organisationunitname,Outpatient Morbidity-Communicable-Water/Food Borne-Typhoid (Enteric Fever) Cases
Asar 2080,304 DHADING,145
Asar 2080,2 Madhesh Province,"5,170"
Asar 2080,111 JHAPA,911
Asar 2080,5 Lumbini Province,"4,056"
Asar 2080,407 TANAHU,183
Asar 2080,1 Koshi Province,"3,255"
Asar 2080,512 BARDIYA,290
Asar 2080,602 MUGU,79
Asar 2080,309 KAVREPALANCHOK,246
Asar 2080,301 DOLAKHA,98
Asar 2080,305 NUWAKOT,101
Asar 2080,510 DANG,312
Asar 2080,605 KALIKOT,66
Asar 2080,411 BAGLUNG,294
Asar 2080,102 SANKHUWASABHA,178
Asar 2080,401 GORKHA,103
Asar 2080,704 BAITADI,81
Asar 2080,706 DOTI,317
Asar 2080,404 MYAGDI,6
Asar 2080,207 BARA,497
Asar 2080,606 DAILEKH,219
Asar 2080,110 ILAM,27
Asar 2080,410 PARBAT,111
Asar 2080,402 MANANG,2
Asar 2080,501 RUKUM EAST,150
Asar 2080,509 KAPILBASTU,499
Asar 2080,506 PALPA,139
Asar 2080,203 DHANUSA,609
Asar 2080,6 Karnali Province,"2,049"
Asar 2080,709 KANCHANPUR,"1,368"
Asar 2080,204 MAHOTTARI,678
Asar 2080,3 Bagmati Province,"3,187"
Asar 2080,705 DADELDHURA,150
Asar 2080,507 NAWALPARASI WEST,265
Asar 2080,205 SARLAHI,"1,307"
Asar 2080,707 ACHHAM,145
Asar 2080,114 UDAYAPUR,456
Asar 2080,307 BHAKTAPUR,75
Asar 2080,406 LAMJUNG,59
Asar 2080,302 SINDHUPALCHOK,103
Asar 2080,403 MUSTANG,4
Asar 2080,202 SIRAHA,610
Asar 2080,208 PARSA,409
Asar 2080,312 MAKWANPUR,113
Asar 2080,105 KHOTANG,70
Asar 2080,308 LALITPUR,154
Asar 2080,112 MORANG,788
Asar 2080,107 DHANKUTA,44
Asar 2080,101 TAPLEJUNG,98
Asar 2080,603 HUMLA,35
Ashwin 2071,307 BHAKTAPUR,310
Ashwin 2071,510 DANG,"1,331"
Ashwin 2071,102 SANKHUWASABHA,700
Ashwin 2071,401 GORKHA,720
Ashwin 2071,202 SIRAHA,"1,577"
Ashwin 2071,704 BAITADI,457
Ashwin 2071,607 JAJARKOT,313
Ashwin 2071,409 SYANGJA,848
Ashwin 2071,101 TAPLEJUNG,212
Ashwin 2071,207 BARA,657
Ashwin 2071,608 RUKUM WEST,534
Ashwin 2071,508 RUPANDEHI,"1,274"
Ashwin 2071,7 Sudurpashchim Province,"6,165"
Ashwin 2071,304 DHADING,967
Ashwin 2071,507 NAWALPARASI WEST,"1,013"
Ashwin 2071,205 SARLAHI,"1,324"
Ashwin 2071,309 KAVREPALANCHOK,"1,401"
Ashwin 2071,305 NUWAKOT,726
Ashwin 2071,602 MUGU,30
Ashwin 2071,605 KALIKOT,98
Ashwin 2071,411 BAGLUNG,921
Ashwin 2071,312 MAKWANPUR,348
Ashwin 2071,404 MYAGDI,148
Ashwin 2071,706 DOTI,728
Ashwin 2071,112 MORANG,"1,623"
Ashwin 2071,406 LAMJUNG,283
Ashwin 2071,603 HUMLA,77
Ashwin 2071,506 PALPA,976
Ashwin 2071,606 DAILEKH,"1,510"
Ashwin 2071,410 PARBAT,389
Ashwin 2071,306 KATHMANDU,"1,239"
Ashwin 2071,501 RUKUM EAST,149
Ashwin 2071,509 KAPILBASTU,"1,333"
Ashwin 2071,2 Madhesh Province,"8,951"
Ashwin 2071,6 Karnali Province,"4,974"
Ashwin 2071,204 MAHOTTARI,"1,293"
Ashwin 2071,111 JHAPA,"1,382"
Ashwin 2071,208 PARSA,603
Ashwin 2071,203 DHANUSA,"1,858"
Ashwin 2071,709 KANCHANPUR,762
Ashwin 2071,407 TANAHU,536
Ashwin 2071,3 Bagmati Province,"8,500"
Ashwin 2071,705 DADELDHURA,654
Ashwin 2071,110 ILAM,177
Ashwin 2071,114 UDAYAPUR,541
Ashwin 2071,707 ACHHAM,662
Ashwin 2071,301 DOLAKHA,405
Ashwin 2071,405 KASKI,"1,445"
Ashwin 2071,701 BAJURA,445
Ashwin 2071,502 ROLPA,665
Ashwin 2071,302 SINDHUPALCHOK,880
Ashwin 2071,4 Gandaki Province,"5,664"
Ashwin 2071,403 MUSTANG,7
Ashwin 2071,104 OKHALDHUNGA,442
Ashwin 2071,103 SOLUKHUMBU,152
Ashwin 2071,Nepal,"53,598"
Ashwin 2071,105 KHOTANG,500
Ashwin 2071,308 LALITPUR,372
Ashwin 2071,107 DHANKUTA,447
Ashwin 2071,408 NAWALPARASI EAST,357
Ashwin 2071,206 RAUTAHAT ,"1,085"
Ashwin 2071,106 BHOJPUR,373
Ashwin 2071,609 SALYAN,755
Ashwin 2071,402 MANANG,10
Ashwin 2071,311 SINDHULI,596
Ashwin 2071,201 SAPTARI,554
Ashwin 2071,604 JUMLA,98
Ashwin 2071,702 BAJHANG,548
Ashwin 2071,601 DOLPA,48
Ashwin 2071,113 SUNSARI,430
Ashwin 2071,504 GULMI,"1,087"
Ashwin 2071,512 BARDIYA,"1,519"
Ashwin 2071,503 PYUTHAN,948
Ashwin 2071,109 PANCHTHAR,188
Ashwin 2071,610 SURKHET,"1,511"
Ashwin 2071,708 KAILALI,"1,603"
Ashwin 2071,310 RAMECHHAP,411
Ashwin 2071,313 CHITWAN,728
Ashwin 2071,703 DARCHULA,306
Ashwin 2071,511 BANKE,991
Ashwin 2071,505 ARGHAKHANCHI,693
Ashwin 2071,5 Lumbini Province,"11,979"
Ashwin 2071,1 Koshi Province,"7,365"
Ashwin 2071,108 TERHATHUM,198
Ashwin 2071,303 RASUWA,117
Ashwin 2072,405 KASKI,"1,680"
Ashwin 2072,403 MUSTANG,8
Ashwin 2072,302 SINDHUPALCHOK,516
Ashwin 2072,104 OKHALDHUNGA,489
Ashwin 2072,701 BAJURA,376
Ashwin 2072,4 Gandaki Province,"6,857"
Ashwin 2072,502 ROLPA,"1,002"
Ashwin 2072,408 NAWALPARASI EAST,562
Ashwin 2072,601 DOLPA,229
Ashwin 2072,113 SUNSARI,529
Ashwin 2072,308 LALITPUR,661
Ashwin 2072,303 RASUWA,58
Ashwin 2072,201 SAPTARI,891
Ashwin 2072,702 BAJHANG,718
Ashwin 2072,506 PALPA,"1,066"
Ashwin 2072,310 RAMECHHAP,594
Ashwin 2072,410 PARBAT,437
Ashwin 2072,609 SALYAN,"1,006"
Ashwin 2072,402 MANANG,3
Ashwin 2072,107 DHANKUTA,498
Ashwin 2072,312 MAKWANPUR,306
Ashwin 2072,206 RAUTAHAT ,795
Ashwin 2072,703 DARCHULA,394
Ashwin 2072,503 PYUTHAN,790
Ashwin 2072,311 SINDHULI,793
Ashwin 2072,105 KHOTANG,590
Ashwin 2072,603 HUMLA,80
Ashwin 2072,706 DOTI,257
Ashwin 2072,407 TANAHU,722
Ashwin 2072,512 BARDIYA,"1,844"
Ashwin 2072,112 MORANG,"1,247"
Ashwin 2072,707 ACHHAM,459
Ashwin 2072,3 Bagmati Province,"7,995"
Ashwin 2072,208 PARSA,427
Ashwin 2072,114 UDAYAPUR,530
Ashwin 2072,306 KATHMANDU,"1,348"
Ashwin 2072,605 KALIKOT,145
Ashwin 2072,501 RUKUM EAST,214
Ashwin 2072,705 DADELDHURA,486
Ashwin 2072,604 JUMLA,59
Ashwin 2072,7 Sudurpashchim Province,"6,348"
Ashwin 2072,111 JHAPA,"1,739"
Ashwin 2072,608 RUKUM WEST,526
Ashwin 2072,606 DAILEKH,"1,290"
Ashwin 2072,709 KANCHANPUR,"1,023"
Ashwin 2072,509 KAPILBASTU,"1,171"
Ashwin 2072,404 MYAGDI,182
Ashwin 2072,203 DHANUSA,"1,397"
Ashwin 2072,704 BAITADI,483
Ashwin 2072,207 BARA,886
Ashwin 2072,103 SOLUKHUMBU,288
Ashwin 2072,411 BAGLUNG,"1,126"
Ashwin 2072,2 Madhesh Province,"7,624"
Ashwin 2072,Nepal,"55,559"
Ashwin 2072,108 TERHATHUM,331
Ashwin 2072,101 TAPLEJUNG,311
Ashwin 2072,307 BHAKTAPUR,245
Ashwin 2072,204 MAHOTTARI,"1,298"
Ashwin 2072,607 JAJARKOT,349
Ashwin 2072,305 NUWAKOT,589
Ashwin 2072,202 SIRAHA,"1,149"
Ashwin 2072,309 KAVREPALANCHOK,990
Ashwin 2072,102 SANKHUWASABHA,627
Ashwin 2072,301 DOLAKHA,395
Ashwin 2072,110 ILAM,137
Ashwin 2072,510 DANG,"1,729"
Ashwin 2072,6 Karnali Province,"5,231"
Ashwin 2072,602 MUGU,32
Ashwin 2072,409 SYANGJA,975
Ashwin 2072,205 SARLAHI,781
Ashwin 2072,610 SURKHET,"1,515"
Ashwin 2072,508 RUPANDEHI,"1,734"
Ashwin 2072,304 DHADING,934
Ashwin 2072,406 LAMJUNG,533
Ashwin 2072,504 GULMI,946
Ashwin 2072,708 KAILALI,"2,152"
Ashwin 2072,1 Koshi Province,"8,212"
Ashwin 2072,507 NAWALPARASI WEST,"1,184"
Ashwin 2072,109 PANCHTHAR,208
Ashwin 2072,505 ARGHAKHANCHI,756
Ashwin 2072,5 Lumbini Province,"13,292"
Ashwin 2072,106 BHOJPUR,688
Ashwin 2072,511 BANKE,856
Ashwin 2072,313 CHITWAN,566
Ashwin 2072,401 GORKHA,629
Ashwin 2073,509 KAPILBASTU,"1,049"
Ashwin 2073,501 RUKUM EAST,123
Ashwin 2073,410 PARBAT,286
Ashwin 2073,606 DAILEKH,791
Ashwin 2073,402 MANANG,50
Ashwin 2073,511 BANKE,868
Ashwin 2073,4 Gandaki Province,"5,393"
Ashwin 2073,705 DADELDHURA,243
Ashwin 2073,604 JUMLA,58
Ashwin 2073,701 BAJURA,410
Ashwin 2073,506 PALPA,683
Ashwin 2073,104 OKHALDHUNGA,298
Ashwin 2073,208 PARSA,664
Ashwin 2073,3 Bagmati Province,"7,974"
Ashwin 2073,605 KALIKOT,57
Ashwin 2073,603 HUMLA,80
Ashwin 2073,312 MAKWANPUR,318
Ashwin 2073,512 BARDIYA,794
Ashwin 2073,311 SINDHULI,587
Ashwin 2073,302 SINDHUPALCHOK,500
Ashwin 2073,703 DARCHULA,231
Ashwin 2073,609 SALYAN,677
Ashwin 2073,310 RAMECHHAP,463
Ashwin 2073,206 RAUTAHAT ,"1,051"
Ashwin 2073,107 DHANKUTA,338
Ashwin 2073,610 SURKHET,966
Ashwin 2073,105 KHOTANG,445
Ashwin 2073,403 MUSTANG,6
Ashwin 2073,112 MORANG,"3,026"
Ashwin 2073,608 RUKUM WEST,426
Ashwin 2073,407 TANAHU,738
Ashwin 2073,706 DOTI,172
Ashwin 2073,201 SAPTARI,931
Ashwin 2073,308 LALITPUR,"1,087"
Ashwin 2073,113 SUNSARI,485
Ashwin 2073,7 Sudurpashchim Province,"5,269"
Ashwin 2073,102 SANKHUWASABHA,404
Ashwin 2073,306 KATHMANDU,"1,680"
Ashwin 2073,601 DOLPA,55
Ashwin 2073,301 DOLAKHA,150
Ashwin 2073,103 SOLUKHUMBU,189
Ashwin 2073,709 KANCHANPUR,972
Ashwin 2073,111 JHAPA,"1,200"
Ashwin 2073,404 MYAGDI,109
Ashwin 2073,114 UDAYAPUR,497
Ashwin 2073,707 ACHHAM,317
Ashwin 2073,2 Madhesh Province,"7,389"
Ashwin 2073,411 BAGLUNG,880
Ashwin 2073,704 BAITADI,451
Ashwin 2073,207 BARA,529
Ashwin 2073,203 DHANUSA,"1,476"
Ashwin 2073,Nepal,"47,597"
Ashwin 2073,110 ILAM,125
Ashwin 2073,508 RUPANDEHI,"1,784"
Ashwin 2073,204 MAHOTTARI,704
Ashwin 2073,202 SIRAHA,"1,504"
Ashwin 2073,108 TERHATHUM,230
Ashwin 2073,6 Karnali Province,"3,424"
Ashwin 2073,510 DANG,"1,005"
Ashwin 2073,406 LAMJUNG,437
Ashwin 2073,507 NAWALPARASI WEST,883
Ashwin 2073,305 NUWAKOT,640
Ashwin 2073,309 KAVREPALANCHOK,"1,005"
Ashwin 2073,607 JAJARKOT,279
Ashwin 2073,708 KAILALI,"1,971"
Ashwin 2073,307 BHAKTAPUR,213
Ashwin 2073,205 SARLAHI,530
Ashwin 2073,304 DHADING,632
Ashwin 2073,503 PYUTHAN,753
Ashwin 2073,101 TAPLEJUNG,218
Ashwin 2073,409 SYANGJA,549
Ashwin 2073,602 MUGU,35
Ashwin 2073,505 ARGHAKHANCHI,415
Ashwin 2073,313 CHITWAN,655
Ashwin 2073,109 PANCHTHAR,189
Ashwin 2073,5 Lumbini Province,"9,952"
Ashwin 2073,504 GULMI,756
Ashwin 2073,106 BHOJPUR,552
Ashwin 2073,702 BAJHANG,502
Ashwin 2073,303 RASUWA,44
Ashwin 2073,502 ROLPA,839
Ashwin 2073,405 KASKI,"1,393"
Ashwin 2073,1 Koshi Province,"8,196"
Ashwin 2073,408 NAWALPARASI EAST,489
Ashwin 2073,401 GORKHA,456
Ashwin 2074,505 ARGHAKHANCHI,329
Ashwin 2074,313 CHITWAN,828
Ashwin 2074,109 PANCHTHAR,152
Ashwin 2074,112 MORANG,"2,595"
Ashwin 2074,308 LALITPUR,496
Ashwin 2074,306 KATHMANDU,"1,776"
Ashwin 2074,106 BHOJPUR,483
Ashwin 2074,504 GULMI,383
Ashwin 2074,201 SAPTARI,517
Ashwin 2074,702 BAJHANG,411
Ashwin 2074,507 NAWALPARASI WEST,601
Ashwin 2074,601 DOLPA,88
Ashwin 2074,406 LAMJUNG,287
Ashwin 2074,206 RAUTAHAT ,473
Ashwin 2074,113 SUNSARI,363
Ashwin 2074,205 SARLAHI,339
Ashwin 2074,708 KAILALI,"1,746"
Ashwin 2074,107 DHANKUTA,236
Ashwin 2074,403 MUSTANG,2
Ashwin 2074,302 SINDHUPALCHOK,400
Ashwin 2074,105 KHOTANG,314
Ashwin 2074,503 PYUTHAN,524
Ashwin 2074,311 SINDHULI,"1,079"
Ashwin 2074,509 KAPILBASTU,993
Ashwin 2074,110 ILAM,200
Ashwin 2074,508 RUPANDEHI,"1,209"
Ashwin 2074,101 TAPLEJUNG,221
Ashwin 2074,606 DAILEKH,836
Ashwin 2074,207 BARA,762
Ashwin 2074,410 PARBAT,272
Ashwin 2074,204 MAHOTTARI,"1,132"
Ashwin 2074,705 DADELDHURA,291
Ashwin 2074,604 JUMLA,71
Ashwin 2074,701 BAJURA,328
Ashwin 2074,4 Gandaki Province,"4,689"
Ashwin 2074,208 PARSA,580
Ashwin 2074,202 SIRAHA,896
Ashwin 2074,6 Karnali Province,"3,080"
Ashwin 2074,506 PALPA,872
Ashwin 2074,707 ACHHAM,308
Ashwin 2074,114 UDAYAPUR,728
Ashwin 2074,301 DOLAKHA,377
Ashwin 2074,3 Bagmati Province,"8,027"
Ashwin 2074,102 SANKHUWASABHA,439
Ashwin 2074,709 KANCHANPUR,854
Ashwin 2074,404 MYAGDI,219
Ashwin 2074,111 JHAPA,869
Ashwin 2074,2 Madhesh Province,"6,067"
Ashwin 2074,501 RUKUM EAST,138
Ashwin 2074,704 BAITADI,202
Ashwin 2074,Nepal,"41,872"
Ashwin 2074,203 DHANUSA,"1,368"
Ashwin 2074,103 SOLUKHUMBU,124
Ashwin 2074,411 BAGLUNG,822
Ashwin 2074,407 TANAHU,578
Ashwin 2074,706 DOTI,242
Ashwin 2074,602 MUGU,123
Ashwin 2074,1 Koshi Province,"7,353"
Ashwin 2074,608 RUKUM WEST,265
Ashwin 2074,7 Sudurpashchim Province,"4,475"
Ashwin 2074,5 Lumbini Province,"8,181"
Ashwin 2074,309 KAVREPALANCHOK,635
Ashwin 2074,605 KALIKOT,77
Ashwin 2074,305 NUWAKOT,455
Ashwin 2074,312 MAKWANPUR,250
Ashwin 2074,510 DANG,963
Ashwin 2074,603 HUMLA,149
Ashwin 2074,703 DARCHULA,93
Ashwin 2074,307 BHAKTAPUR,308
Ashwin 2074,609 SALYAN,477
Ashwin 2074,512 BARDIYA,866
Ashwin 2074,409 SYANGJA,488
Ashwin 2074,310 RAMECHHAP,526
Ashwin 2074,610 SURKHET,811
Ashwin 2074,304 DHADING,845
Ashwin 2074,408 NAWALPARASI EAST,352
Ashwin 2074,511 BANKE,733
Ashwin 2074,607 JAJARKOT,183
Ashwin 2074,108 TERHATHUM,243
Ashwin 2074,104 OKHALDHUNGA,386
Ashwin 2074,303 RASUWA,52
Ashwin 2074,502 ROLPA,570
Ashwin 2074,401 GORKHA,513
Ashwin 2074,405 KASKI,"1,156"
Ashwin 2075,106 BHOJPUR,566
Ashwin 2075,306 KATHMANDU,"1,903"
Ashwin 2075,505 ARGHAKHANCHI,584
Ashwin 2075,313 CHITWAN,330
Ashwin 2075,201 SAPTARI,766
Ashwin 2075,311 SINDHULI,869
Ashwin 2075,308 LALITPUR,874
Ashwin 2075,109 PANCHTHAR,226
Ashwin 2075,206 RAUTAHAT ,"1,345"
Ashwin 2075,107 DHANKUTA,243
Ashwin 2075,112 MORANG,"1,762"
Ashwin 2075,701 BAJURA,309
Ashwin 2075,504 GULMI,971
Ashwin 2075,601 DOLPA,67
Ashwin 2075,302 SINDHUPALCHOK,441
Ashwin 2075,403 MUSTANG,5
Ashwin 2075,406 LAMJUNG,499
Ashwin 2075,702 BAJHANG,369
Ashwin 2075,105 KHOTANG,595
Ashwin 2075,113 SUNSARI,338
Ashwin 2075,503 PYUTHAN,827
Ashwin 2075,507 NAWALPARASI WEST,993
Ashwin 2075,205 SARLAHI,"2,037"
Ashwin 2075,606 DAILEKH,"1,104"
Ashwin 2075,110 ILAM,172
Ashwin 2075,506 PALPA,"1,007"
Ashwin 2075,6 Karnali Province,"5,246"
Ashwin 2075,207 BARA,"1,178"
Ashwin 2075,101 TAPLEJUNG,227
Ashwin 2075,202 SIRAHA,"1,484"
Ashwin 2075,208 PARSA,718
Ashwin 2075,4 Gandaki Province,"5,785"
Ashwin 2075,604 JUMLA,68
Ashwin 2075,404 MYAGDI,121
Ashwin 2075,410 PARBAT,455
Ashwin 2075,103 SOLUKHUMBU,109
Ashwin 2075,301 DOLAKHA,417
Ashwin 2075,3 Bagmati Province,"7,840"
Ashwin 2075,411 BAGLUNG,"1,011"
Ashwin 2075,407 TANAHU,643
Ashwin 2075,Nepal,"58,744"
Ashwin 2075,2 Madhesh Province,"11,734"
Ashwin 2075,203 DHANUSA,"1,917"
Ashwin 2075,509 KAPILBASTU,"1,356"
Ashwin 2075,707 ACHHAM,425
Ashwin 2075,705 DADELDHURA,220
Ashwin 2075,114 UDAYAPUR,507
Ashwin 2075,501 RUKUM EAST,159
Ashwin 2075,709 KANCHANPUR,"1,209"
Ashwin 2075,204 MAHOTTARI,"2,289"
Ashwin 2075,111 JHAPA,"1,630"
Ashwin 2075,602 MUGU,76
Ashwin 2075,409 SYANGJA,557
Ashwin 2075,304 DHADING,625
Ashwin 2075,704 BAITADI,442
Ashwin 2075,706 DOTI,384
Ashwin 2075,610 SURKHET,"1,729"
Ashwin 2075,102 SANKHUWASABHA,442
Ashwin 2075,7 Sudurpashchim Province,"8,003"
Ashwin 2075,608 RUKUM WEST,590
Ashwin 2075,603 HUMLA,134
Ashwin 2075,510 DANG,"2,099"
Ashwin 2075,312 MAKWANPUR,357
Ashwin 2075,605 KALIKOT,177
Ashwin 2075,512 BARDIYA,"1,271"
Ashwin 2075,402 MANANG,11
Ashwin 2075,305 NUWAKOT,397
Ashwin 2075,309 KAVREPALANCHOK,780
Ashwin 2075,307 BHAKTAPUR,314
Ashwin 2075,508 RUPANDEHI,"1,524"
Ashwin 2075,609 SALYAN,912
Ashwin 2075,310 RAMECHHAP,470
Ashwin 2075,703 DARCHULA,162
Ashwin 2075,607 JAJARKOT,389
Ashwin 2075,408 NAWALPARASI EAST,363
Ashwin 2075,708 KAILALI,"4,483"
Ashwin 2075,104 OKHALDHUNGA,341
Ashwin 2075,405 KASKI,"1,922"
Ashwin 2075,108 TERHATHUM,264
Ashwin 2075,5 Lumbini Province,"12,714"
Ashwin 2075,401 GORKHA,198
Ashwin 2075,303 RASUWA,63
Ashwin 2075,502 ROLPA,941
Ashwin 2075,511 BANKE,982
Ashwin 2075,1 Koshi Province,"7,422"
Ashwin 2076,204 MAHOTTARI,"1,350"
Ashwin 2076,101 TAPLEJUNG,209
Ashwin 2076,6 Karnali Province,"7,094"
Ashwin 2076,202 SIRAHA,"1,097"
Ashwin 2076,207 BARA,"1,013"
Ashwin 2076,401 GORKHA,479
Ashwin 2076,108 TERHATHUM,203
Ashwin 2076,110 ILAM,172
Ashwin 2076,607 JAJARKOT,480
Ashwin 2076,111 JHAPA,"1,529"
Ashwin 2076,704 BAITADI,307
Ashwin 2076,203 DHANUSA,"1,324"
Ashwin 2076,2 Madhesh Province,"7,964"
Ashwin 2076,301 DOLAKHA,504
Ashwin 2076,610 SURKHET,"3,061"
Ashwin 2076,109 PANCHTHAR,227
Ashwin 2076,503 PYUTHAN,769
Ashwin 2076,411 BAGLUNG,"1,239"
Ashwin 2076,5 Lumbini Province,"12,870"
Ashwin 2076,608 RUKUM WEST,"1,151"
Ashwin 2076,708 KAILALI,"1,720"
Ashwin 2076,505 ARGHAKHANCHI,481
Ashwin 2076,7 Sudurpashchim Province,"5,028"
Ashwin 2076,706 DOTI,456
Ashwin 2076,206 RAUTAHAT ,784
Ashwin 2076,113 SUNSARI,314
Ashwin 2076,703 DARCHULA,190
Ashwin 2076,102 SANKHUWASABHA,635
Ashwin 2076,304 DHADING,639
Ashwin 2076,201 SAPTARI,588
Ashwin 2076,605 KALIKOT,279
Ashwin 2076,309 KAVREPALANCHOK,752
Ashwin 2076,409 SYANGJA,602
Ashwin 2076,310 RAMECHHAP,538
Ashwin 2076,609 SALYAN,757
Ashwin 2076,601 DOLPA,56
Ashwin 2076,701 BAJURA,434
Ashwin 2076,508 RUPANDEHI,"2,160"
Ashwin 2076,512 BARDIYA,"1,596"
Ashwin 2076,Nepal,"57,919"
Ashwin 2076,105 KHOTANG,357
Ashwin 2076,104 OKHALDHUNGA,407
Ashwin 2076,506 PALPA,"1,290"
Ashwin 2076,408 NAWALPARASI EAST,495
Ashwin 2076,604 JUMLA,84
Ashwin 2076,410 PARBAT,277
Ashwin 2076,4 Gandaki Province,"8,211"
Ashwin 2076,308 LALITPUR,685
Ashwin 2076,404 MYAGDI,45
Ashwin 2076,709 KANCHANPUR,844
Ashwin 2076,707 ACHHAM,412
Ashwin 2076,114 UDAYAPUR,905
Ashwin 2076,208 PARSA,546
Ashwin 2076,705 DADELDHURA,176
Ashwin 2076,303 RASUWA,66
Ashwin 2076,3 Bagmati Province,"9,350"
Ashwin 2076,502 ROLPA,"1,025"
Ashwin 2076,606 DAILEKH,"1,128"
Ashwin 2076,103 SOLUKHUMBU,132
Ashwin 2076,511 BANKE,"1,145"
Ashwin 2076,1 Koshi Province,"7,402"
Ashwin 2076,509 KAPILBASTU,817
Ashwin 2076,405 KASKI,"2,393"
Ashwin 2076,501 RUKUM EAST,241
Ashwin 2076,407 TANAHU,"2,082"
Ashwin 2076,313 CHITWAN,819
Ashwin 2076,306 KATHMANDU,"2,594"
Ashwin 2076,504 GULMI,"1,140"
Ashwin 2076,106 BHOJPUR,328
Ashwin 2076,603 HUMLA,68
Ashwin 2076,112 MORANG,"1,729"
Ashwin 2076,205 SARLAHI,"1,262"
Ashwin 2076,702 BAJHANG,489
Ashwin 2076,305 NUWAKOT,564
Ashwin 2076,312 MAKWANPUR,324
Ashwin 2076,311 SINDHULI,780
Ashwin 2076,507 NAWALPARASI WEST,412
Ashwin 2076,107 DHANKUTA,255
Ashwin 2076,406 LAMJUNG,592
Ashwin 2076,510 DANG,"1,794"
Ashwin 2076,307 BHAKTAPUR,615
Ashwin 2076,602 MUGU,30
Ashwin 2076,403 MUSTANG,2
Ashwin 2076,302 SINDHUPALCHOK,470
Ashwin 2076,402 MANANG,5
Ashwin 2077,7 Sudurpashchim Province,"3,899"
Ashwin 2077,2 Madhesh Province,"8,667"
Ashwin 2077,304 DHADING,496
Ashwin 2077,608 RUKUM WEST,815
Ashwin 2077,111 JHAPA,926
Ashwin 2077,602 MUGU,54
Ashwin 2077,409 SYANGJA,372
Ashwin 2077,704 BAITADI,304
Ashwin 2077,102 SANKHUWASABHA,706
Ashwin 2077,706 DOTI,501
Ashwin 2077,607 JAJARKOT,607
Ashwin 2077,512 BARDIYA,894
Ashwin 2077,610 SURKHET,"1,486"
Ashwin 2077,101 TAPLEJUNG,92
Ashwin 2077,510 DANG,610
Ashwin 2077,508 RUPANDEHI,804
Ashwin 2077,309 KAVREPALANCHOK,491
Ashwin 2077,312 MAKWANPUR,130
Ashwin 2077,305 NUWAKOT,313
Ashwin 2077,307 BHAKTAPUR,157
Ashwin 2077,705 DADELDHURA,192
Ashwin 2077,506 PALPA,454
Ashwin 2077,3 Bagmati Province,"4,800"
Ashwin 2077,605 KALIKOT,171
Ashwin 2077,110 ILAM,86
Ashwin 2077,603 HUMLA,59
Ashwin 2077,404 MYAGDI,34
Ashwin 2077,208 PARSA,488
Ashwin 2077,6 Karnali Province,"4,726"
Ashwin 2077,202 SIRAHA,"1,119"
Ashwin 2077,410 PARBAT,281
Ashwin 2077,604 JUMLA,40
Ashwin 2077,4 Gandaki Province,"3,664"
Ashwin 2077,411 BAGLUNG,830
Ashwin 2077,Nepal,"38,082"
Ashwin 2077,207 BARA,"1,031"
Ashwin 2077,301 DOLAKHA,205
Ashwin 2077,114 UDAYAPUR,382
Ashwin 2077,103 SOLUKHUMBU,97
Ashwin 2077,707 ACHHAM,224
Ashwin 2077,606 DAILEKH,598
Ashwin 2077,709 KANCHANPUR,620
Ashwin 2077,204 MAHOTTARI,"1,081"
Ashwin 2077,203 DHANUSA,"1,345"
Ashwin 2077,501 RUKUM EAST,134
Ashwin 2077,407 TANAHU,385
Ashwin 2077,509 KAPILBASTU,758
Ashwin 2077,311 SINDHULI,570
Ashwin 2077,201 SAPTARI,555
Ashwin 2077,107 DHANKUTA,97
Ashwin 2077,206 RAUTAHAT ,"1,144"
Ashwin 2077,113 SUNSARI,218
Ashwin 2077,306 KATHMANDU,"1,193"
Ashwin 2077,303 RASUWA,62
Ashwin 2077,601 DOLPA,110
Ashwin 2077,702 BAJHANG,449
Ashwin 2077,106 BHOJPUR,349
Ashwin 2077,109 PANCHTHAR,153
Ashwin 2077,104 OKHALDHUNGA,201
Ashwin 2077,112 MORANG,"1,002"
Ashwin 2077,505 ARGHAKHANCHI,436
Ashwin 2077,308 LALITPUR,368
Ashwin 2077,302 SINDHUPALCHOK,360
Ashwin 2077,503 PYUTHAN,530
Ashwin 2077,105 KHOTANG,234
Ashwin 2077,701 BAJURA,375
Ashwin 2077,507 NAWALPARASI WEST,316
Ashwin 2077,406 LAMJUNG,248
Ashwin 2077,402 MANANG,4
Ashwin 2077,205 SARLAHI,"1,904"
Ashwin 2077,703 DARCHULA,204
Ashwin 2077,609 SALYAN,786
Ashwin 2077,310 RAMECHHAP,227
Ashwin 2077,708 KAILALI,"1,030"
Ashwin 2077,504 GULMI,991
Ashwin 2077,1 Koshi Province,"4,689"
Ashwin 2077,401 GORKHA,422
Ashwin 2077,408 NAWALPARASI EAST,224
Ashwin 2077,502 ROLPA,905
Ashwin 2077,5 Lumbini Province,"7,637"
Ashwin 2077,313 CHITWAN,228
Ashwin 2077,108 TERHATHUM,146
Ashwin 2077,511 BANKE,805
Ashwin 2077,405 KASKI,864
Ashwin 2078,404 MYAGDI,29
Ashwin 2078,312 MAKWANPUR,161
Ashwin 2078,709 KANCHANPUR,935
Ashwin 2078,703 DARCHULA,242
Ashwin 2078,707 ACHHAM,182
Ashwin 2078,208 PARSA,907
Ashwin 2078,114 UDAYAPUR,518
Ashwin 2078,604 JUMLA,62
Ashwin 2078,506 PALPA,588
